"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"19151",18497,215,-0.0846856797182427,10401,0,0.942706810874013,0.346007604562738,19,0.05,0.471698113207547,0.906976744186046,"Colombia"
"19152",18498,216,-0.0655864141090766,10718.2857142857,0,0.942857142857143,0.351123595505618,19,0.05,0.471698113207547,0.909090909090909,"Colombia"
"19153",18499,217,-0.0187443790670963,10427.2857142857,0,0.943000838222967,0.356157383750639,19,0.05,0.471698113207547,0.911111111111111,"Colombia"
"19154",18500,218,0.0163262863657578,10009.2857142857,0,0.92360430950049,0.369975097829954,18,0.04,0.515723270440252,0.869565217391304,"Colombia"
"19155",18501,219,0.0474345565350064,9753.71428571429,0,0.923777564717162,0.375172651933702,18,0.04,0.515723270440252,0.872340425531915,"Colombia"
"19156",18502,220,0.0391070400433637,9764.85714285714,0,0.923943661971831,0.380281690140845,18,0.04,0.515723270440252,0.875,"Colombia"
"19157",18503,221,0.138805614116192,9540.14285714286,0,0.924103035878565,0.385304659498208,18,0.04,0.515723270440252,0.877551020408163,"Colombia"
"19158",18504,222,0.0930689494490635,9537.85714285714,0,0.924256086564473,0.390243902439024,18,0.04,0.515723270440252,0.88,"Colombia"
"19159",18505,223,0.137429601474942,9058,0,0.924403183023873,0.395101663585952,18,0.04,0.515723270440252,0.882352941176471,"Colombia"
"19160",18506,224,0.108136003705215,8844.71428571429,0,0.924544666088465,0.399880095923261,18,0.04,0.515723270440252,0.884615384615385,"Colombia"
"19161",18507,225,0.0631012961718917,8725.42857142857,0,0.92468085106383,0.404581266413773,18,0.04,0.515723270440252,0.886792452830189,"Colombia"
"19162",18508,226,0.0389971776242785,8511.28571428571,0,0.924812030075188,0.40920716112532,18,0.04,0.515723270440252,0.888888888888889,"Colombia"
"19163",18509,227,0.0278581901036035,8510.14285714286,0,0.924938474159147,0.413759689922481,18,0.04,0.515723270440252,0.890909090909091,"Colombia"
"19164",18510,228,0.0174098382749171,8367.42857142857,0,0.925060435132957,0.418240690771722,18,0.04,0.515723270440252,0.892857142857143,"Colombia"
"19165",18511,229,-0.0230894261562926,8373.85714285714,0,0.925178147268409,0.422651933701657,18,0.04,0.515723270440252,0.894736842105263,"Colombia"
"19166",18512,230,-0.0390326256602117,8107.71428571429,0,0.925291828793774,0.426995124454709,18,0.04,0.515723270440252,0.896551724137931,"Colombia"
"19167",18513,231,-0.0149366946173165,7926.71428571429,0,0.92540168324407,0.431271907861793,18,0.04,0.515723270440252,0.898305084745763,"Colombia"
