"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"137",18419,137,-0.00528179305901734,718,0,1,0.163636363636364,30,0.04,0.619834710743802,1,"Afghanistan"
"138",18420,138,-0.00851189487392616,733.857142857143,0,1,0.178571428571429,30,0.04,0.619834710743802,1,"Afghanistan"
"139",18421,139,-0.0137460558568956,738.142857142857,0,1,0.192982456140351,30,0.04,0.619834710743802,1,"Afghanistan"
"140",18422,140,-0.024825628535589,707.142857142857,0,1,0.206896551724138,30,0.04,0.619834710743802,1,"Afghanistan"
"141",18423,141,-0.0320234491568565,696.571428571429,0,1,0.220338983050847,30,0.04,0.619834710743802,1,"Afghanistan"
"142",18424,142,-0.0464399655667405,691,0,1,0.233333333333333,30,0.04,0.619834710743802,1,"Afghanistan"
"143",18425,143,-0.0600304696776353,654,0,1,0.245901639344262,30,0.04,0.619834710743802,1,"Afghanistan"
"144",18426,144,-0.059588047151238,650.285714285714,0,1,0.258064516129032,30,0.04,0.619834710743802,1,"Afghanistan"
"145",18427,145,-0.0620009535815138,632.142857142857,0,1,0.26984126984127,30,0.04,0.619834710743802,1,"Afghanistan"
"146",18428,146,-0.0678403227903404,658.714285714286,0,1,0.28125,30,0.04,0.619834710743802,1,"Afghanistan"
"147",18429,147,-0.0922573861995866,693.142857142857,0,1,0.292307692307692,30,0.04,0.619834710743802,1,"Afghanistan"
"148",18430,148,-0.113987350918782,676,0,0.983277591973244,0.334190231362468,30,0.03,0.694214876033058,0.928571428571429,"Afghanistan"
"149",18431,149,-0.11617481527063,663.142857142857,0,0.983606557377049,0.346289752650177,30,0.03,0.694214876033058,0.933333333333333,"Afghanistan"
"150",18432,150,-0.120967360887401,618.857142857143,0,0.98389458272328,0.357917570498915,30,0.03,0.694214876033058,0.9375,"Afghanistan"
"151",18433,151,-0.142515483025003,617.428571428571,0,0.984148862853205,0.369107321965898,30,0.03,0.694214876033058,0.941176470588235,"Afghanistan"
"152",18434,152,-0.152813021140967,581,0,0.984375,0.379888268156425,30,0.03,0.694214876033058,0.944444444444444,"Afghanistan"
"153",18435,153,-0.00403233708105475,516.571428571429,0,0.984577421344849,0.390286209887251,30,0.03,0.694214876033058,0.947368421052632,"Afghanistan"
"154",18436,154,0.167747988767278,451,0,0.984759671746776,0.40032414910859,30,0.03,0.694214876033058,0.95,"Afghanistan"
"155",18437,155,0.209539002173649,403.857142857143,0,0.984924623115578,0.41002277904328,30,0.03,0.694214876033058,0.952380952380952,"Afghanistan"
"156",18438,156,0.178753879960831,375.571428571429,0,0.985074626865672,0.419400855920114,30,0.03,0.694214876033058,0.954545454545455,"Afghanistan"
"157",18439,157,0.136553974850456,365.571428571429,0,0.985211626721061,0.428475486903962,30,0.03,0.694214876033058,0.956521739130435,"Afghanistan"
"158",18440,158,0.144298109946237,311.142857142857,0,0.98533724340176,0.437262357414449,30,0.03,0.694214876033058,0.958333333333333,"Afghanistan"
"159",18441,159,0.109766057710532,302.857142857143,0,0.985452839042703,0.445775913720791,30,0.03,0.694214876033058,0.96,"Afghanistan"
"160",18442,160,0.0854030491322291,297.285714285714,0,0.985559566787004,0.454029511918275,30,0.03,0.694214876033058,0.961538461538462,"Afghanistan"
"161",18443,161,0.0680525409477309,290.857142857143,0,0.985658409387223,0.462035541195477,30,0.03,0.694214876033058,0.962962962962963,"Afghanistan"
"162",18444,162,0.0497787607311507,303,0,0.985750209555742,0.469805527123849,30,0.03,0.694214876033058,0.964285714285714,"Afghanistan"
"163",18445,163,0.0518929522024259,263.857142857143,0,0.985835694050992,0.477350219191427,30,0.03,0.694214876033058,0.96551724137931,"Afghanistan"
"164",18446,164,0.0367049748155539,267.571428571429,0,0.985915492957746,0.484679665738162,30,0.03,0.694214876033058,0.966666666666667,"Afghanistan"
"165",18447,165,0.0152767664968593,293.714285714286,0,0.985990155244226,0.491803278688525,30,0.03,0.694214876033058,0.967741935483871,"Afghanistan"
"166",18448,166,0.00107806276361647,283.428571428571,0,0.986060161408657,0.498729889923793,30,0.03,0.694214876033058,0.96875,"Afghanistan"
"167",18449,167,0.0044430282741351,278.857142857143,0,0.986125933831377,0.50546780072904,30,0.03,0.694214876033058,0.96969696969697,"Afghanistan"
"168",18450,168,-0.00374549803175917,266.714285714286,0,0.986187845303867,0.512024825446082,30,0.03,0.694214876033058,0.970588235294118,"Afghanistan"
"169",18451,169,-0.00932821400358954,251.142857142857,0,0.986246226098625,0.518408330234288,30,0.03,0.694214876033058,0.971428571428571,"Afghanistan"
"170",18452,170,-0.0129170128698463,269.428571428571,0,0.986301369863014,0.524625267665953,30,0.03,0.694214876033058,0.972222222222222,"Afghanistan"
"171",18453,171,-0.0169297301703379,267.142857142857,0,0.986353538559188,0.530682207747686,30,0.03,0.694214876033058,0.972972972972973,"Afghanistan"
"172",18454,172,-0.0179488801132648,242,0,0.986402966625463,0.536585365853659,30,0.03,0.694214876033058,0.973684210526316,"Afghanistan"
"173",18455,173,-0.00881883852686319,214.285714285714,0,0.986449864498645,0.542340627973359,30,0.03,0.694214876033058,0.974358974358974,"Afghanistan"
"174",18456,174,-0.012962229857691,202.142857142857,0,0.986494421608925,0.547953573610263,30,0.03,0.694214876033058,0.975,"Afghanistan"
"175",18457,175,-0.0138495164052735,193.714285714286,0,0.986536808937267,0.55342949661466,30,0.03,0.694214876033058,0.975609756097561,"Afghanistan"
"176",18458,176,-0.0339818201949572,200,0,0.986577181208054,0.558773424190801,30,0.03,0.694214876033058,0.976190476190476,"Afghanistan"
"177",18459,177,-0.0547909808629899,166,0,0.986615678776291,0.563990134283365,30,0.03,0.694214876033058,0.976744186046512,"Afghanistan"
"178",18460,178,-0.0616135680988432,147.857142857143,0,0.986652429257875,0.569084171519322,30,0.03,0.694214876033058,0.977272727272727,"Afghanistan"
"179",18461,179,-0.0739744071020836,131.857142857143,0,0.986687548942835,0.574059861857253,30,0.03,0.694214876033058,0.977777777777778,"Afghanistan"
"180",18462,180,-0.0781648621164289,144.571428571429,0,0.986721144024515,0.5789213260762,30,0.03,0.694214876033058,0.978260869565217,"Afghanistan"
"181",18463,181,-0.105199279666019,128.285714285714,0,0.986753311672082,0.583672492219296,30,0.03,0.694214876033058,0.978723404255319,"Afghanistan"
"182",18464,182,-0.117271829643335,125,0,0.986784140969163,0.588317107093185,30,0.03,0.694214876033058,0.979166666666667,"Afghanistan"
"183",18465,183,-0.0872796482503968,104.714285714286,0,0.986813713737713,0.592858746912194,30,0.03,0.694214876033058,0.979591836734694,"Afghanistan"
"184",18466,184,-0.0643862073517702,122.571428571429,0,0.986842105263158,0.597300827165869,30,0.03,0.694214876033058,0.98,"Afghanistan"
"185",18467,185,-0.0328064960517369,108.428571428571,0,0.986869384934347,0.601646611779607,30,0.03,0.694214876033058,0.980392156862745,"Afghanistan"
"186",18468,186,-0.0231189478964056,106.714285714286,0,0.98689561680976,0.605899221630479,30,0.03,0.694214876033058,0.980769230769231,"Afghanistan"
"187",18469,187,-0.0242386856228323,99.1428571428571,0,0.986920860119707,0.610061642473653,30,0.03,0.694214876033058,0.981132075471698,"Afghanistan"
"188",18470,188,-0.000536572805149115,108.571428571429,0,0.986945169712794,0.614136732329085,30,0.03,0.694214876033058,0.981481481481482,"Afghanistan"
"189",18471,189,-0.00295053801265978,107.571428571429,0,0.986968596453749,0.618127228373053,30,0.03,0.694214876033058,0.981818181818182,"Afghanistan"
"190",18472,190,-0.0066938010745717,106.571428571429,0,0.986991187578682,0.622035753374681,30,0.03,0.694214876033058,0.982142857142857,"Afghanistan"
"191",18473,191,0.000672190749595368,87.7142857142857,0,0.987012987012987,0.625864821713677,30,0.03,0.694214876033058,0.982456140350877,"Afghanistan"
"192",18474,192,-0.0231873440018008,98.1428571428571,0,0.987034035656402,0.629616845012081,30,0.03,0.694214876033058,0.982758620689655,"Afghanistan"
"193",18475,193,-0.0036683788801817,96.2857142857143,0,0.987054371639116,0.633294137409709,30,0.03,0.694214876033058,0.983050847457627,"Afghanistan"
"194",18476,194,-0.00316335017728739,79.1428571428571,0,0.987074030552291,0.636898920510304,30,0.03,0.694214876033058,0.983333333333333,"Afghanistan"
"195",18477,195,-0.0268740758080373,69.1428571428571,0,0.987093045655943,0.640433328022941,30,0.03,0.694214876033058,0.983606557377049,"Afghanistan"
"196",18478,196,-0.0240813664177931,59.2857142857143,0,0.987111448066717,0.64389941012108,30,0.03,0.694214876033058,0.983870967741935,"Afghanistan"
"197",18479,197,-0.0276652315341349,51,0,0.987129266927812,0.647299137539719,30,0.03,0.694214876033058,0.984126984126984,"Afghanistan"
"198",18480,198,-0.0338818136051875,56.5714285714286,0,0.987146529562982,0.65063440542933,30,0.03,0.694214876033058,0.984375,"Afghanistan"
"199",18481,199,-0.0263970357287845,48.7142857142857,0,0.987163261616344,0.653907036983739,30,0.03,0.694214876033058,0.984615384615385,"Afghanistan"
"200",18482,200,-0.0645890467292286,49.4285714285714,0,0.987179487179487,0.657118786857624,30,0.03,0.694214876033058,0.984848484848485,"Afghanistan"
"201",18483,201,-0.0920822122025603,54.5714285714286,0,0.987195228907209,0.660271344388105,30,0.03,0.694214876033058,0.985074626865672,"Afghanistan"
"202",18484,202,-0.0872561900278149,59.4285714285714,0,0.987210508123056,0.663366336633663,30,0.03,0.694214876033058,0.985294117647059,"Afghanistan"
"203",18485,203,-0.0750156333959186,69.5714285714286,0,0.987225344915687,0.66640533124265,30,0.03,0.694214876033058,0.985507246376812,"Afghanistan"
"204",18486,204,-0.0792706668451321,73.7142857142857,0,0.987239758226998,0.669389839162625,30,0.03,0.694214876033058,0.985714285714286,"Afghanistan"
"205",18487,205,-0.0857454269040321,70.5714285714286,0,0.987253765932793,0.672321317200948,30,0.03,0.694214876033058,0.985915492957746,"Afghanistan"
"206",18488,206,-0.135572394818107,70.1428571428571,0,0.987267384916748,0.675201170446233,30,0.03,0.694214876033058,0.986111111111111,"Afghanistan"
"207",18489,207,-0.0873157294974787,70.8571428571429,0,0.987280631138303,0.678030754559542,30,0.03,0.694214876033058,0.986301369863014,"Afghanistan"
"208",18490,208,-0.0653720352042798,72.4285714285714,0,0.987280631138303,0.67218151737178,30,0.03,0.688524590163934,0.986301369863014,"Afghanistan"
"209",18491,209,-0.0430623703414868,73.4285714285714,0,0.987280631138303,0.666432337434095,30,0.03,0.682926829268293,0.986301369863014,"Afghanistan"
"210",18492,210,-0.0829311619190551,64.2857142857143,0,0.987280631138303,0.660780669144981,30,0.03,0.67741935483871,0.986301369863014,"Afghanistan"
"211",18493,211,-0.0491788626370958,59.1428571428571,0,0.987293519695044,0.663636363636364,30,0.03,0.67741935483871,0.986486486486487,"Afghanistan"
"212",18494,212,-0.0575161869347552,61.4285714285714,0,0.987306064880113,0.666444296197465,30,0.03,0.67741935483871,0.986666666666667,"Afghanistan"
"213",18495,213,-0.00815208211641169,55.4285714285714,0,0.987318280235076,0.669205658324265,30,0.03,0.67741935483871,0.986842105263158,"Afghanistan"
"214",18496,214,-0.0707942705256938,57.4285714285714,0,0.987330178598687,0.671921602045164,30,0.03,0.67741935483871,0.987012987012987,"Afghanistan"
"215",18497,215,-0.0397429777436529,57.1428571428571,0,0.987341772151899,0.67459324155194,30,0.03,0.67741935483871,0.987179487179487,"Afghanistan"
"216",18498,216,-0.0408287297380045,54,0,0.987353072459456,0.677221654749745,30,0.03,0.67741935483871,0.987341772151899,"Afghanistan"
"217",18499,217,-0.0206127915566745,50.1428571428571,0,0.987364090508375,0.679807884730839,30,0.03,0.67741935483871,0.9875,"Afghanistan"
"218",18500,218,-0.0684943876663987,50.4285714285714,0,0.987374836743579,0.682352941176471,30,0.03,0.67741935483871,0.987654320987654,"Afghanistan"
"219",18501,219,-0.0542201769641851,38.1428571428571,0,0.987385321100917,0.684857801691007,30,0.03,0.67741935483871,0.98780487804878,"Afghanistan"
"220",18502,220,-0.0656691433030421,35,0,0.964342948717949,0.698655676577372,30,0.02,0.701612903225806,0.963855421686747,"Afghanistan"
"221",18503,221,0.0438524048225813,27,0,0.96437054631829,0.701096364685517,30,0.02,0.701612903225806,0.964285714285714,"Afghanistan"
"222",18504,222,-0.011117424741555,23.5714285714286,0,0.964397496087637,0.703497690204582,30,0.02,0.701612903225806,0.964705882352941,"Afghanistan"
"223",18505,223,0.0112272117969095,16.2857142857143,0,0.964423820572313,0.705860602699205,30,0.02,0.701612903225806,0.965116279069767,"Afghanistan"
"224",18506,224,0.049871648436908,18.8571428571429,0,0.964449541284404,0.708186021212945,30,0.02,0.701612903225806,0.96551724137931,"Afghanistan"
"225",18507,225,0.0530577150266731,20,0,0.964474678760393,0.710474835497066,30,0.02,0.701612903225806,0.965909090909091,"Afghanistan"
"226",18508,226,0.040302243616682,24.1428571428571,0,0.964499252615845,0.712727907179621,30,0.02,0.701612903225806,0.966292134831461,"Afghanistan"
