"","dates","Days","EVI","Cases","Index","pvs","pvn","lag_all","c_all","se_all","sp_all","name"
"31781",18503,221,0.0729543233700251,4980.42857142857,1,0.883485309017224,0.796233469500796,30,0.01,0.727272727272727,0.917431192660551,"France"
"31782",18504,222,0.0580204256523016,5078.42857142857,1,0.88489768683274,0.796233469500796,30,0.01,0.73,0.917431192660551,"France"
"31783",18505,223,0.0488035359756719,5240.85714285714,1,0.886276233380947,0.796233469500796,30,0.01,0.732673267326733,0.917431192660551,"France"
"31784",18506,224,0.0434154620141638,5453.42857142857,1,0.887622149837134,0.796233469500796,30,0.01,0.735294117647059,0.917431192660551,"France"
"31785",18507,225,0.0839878967137953,6428.57142857143,1,0.888936581178238,0.796233469500796,30,0.01,0.737864077669903,0.917431192660551,"France"
"31786",18508,226,0.0328901828596399,5845.57142857143,1,0.890220619431481,0.796233469500796,30,0.01,0.740384615384615,0.917431192660551,"France"
"31787",18509,227,0.0279600042277327,6016,1,0.89147530670022,0.796233469500796,30,0.01,0.742857142857143,0.917431192660551,"France"
"31788",18510,228,0.0340621496496473,6463.71428571429,1,0.892701637984657,0.796233469500796,30,0.01,0.745283018867924,0.917431192660551,"France"
"31789",18511,229,0.0338219573886808,6699.42857142857,1,0.893900563813429,0.796233469500796,30,0.01,0.747663551401869,0.917431192660551,"France"
"31790",18512,230,0.0263532575368896,6864.14285714286,1,0.89507299270073,0.796233469500796,30,0.01,0.75,0.917431192660551,"France"
"31791",18513,231,0.0217626936829164,7097.57142857143,1,0.896219793442294,0.796233469500796,30,0.01,0.752293577981651,0.917431192660551,"France"
"31792",18514,232,0.0219936146281246,7312.71428571429,1,0.897341797262448,0.796233469500796,30,0.01,0.754545454545455,0.917431192660551,"France"
"31793",18515,233,0.0238844801765667,7689.85714285714,1,0.898439799823374,0.796233469500796,30,0.01,0.756756756756757,0.917431192660551,"France"
"31794",18516,234,0.0173714324574297,7786.28571428571,1,0.899514563106796,0.796233469500796,30,0.01,0.758928571428571,0.917431192660551,"France"
"31795",18517,235,0.0217684517457176,8178.14285714286,1,0.900566817177443,0.796233469500796,30,0.01,0.761061946902655,0.917431192660551,"France"
"31796",18518,236,0.00806895110712657,8082.28571428571,0,0.901597261836851,0.796233469500796,30,0.01,0.763157894736842,0.917431192660551,"France"
"31797",18519,237,0.0175778216240246,8386.57142857143,1,0.902606568175402,0.796233469500796,30,0.01,0.765217391304348,0.917431192660551,"France"
"31798",18520,238,0.0211806604924794,8542,1,0.903595380029806,0.796233469500796,30,0.01,0.767241379310345,0.917431192660551,"France"
"31799",18521,239,0.00205678436632125,8766.57142857143,0,0.904564315352697,0.796233469500796,30,0.01,0.769230769230769,0.917431192660551,"France"
"31800",18522,240,-0.00517729950113221,8834.71428571429,0,0.905513967500457,0.796233469500796,30,0.01,0.771186440677966,0.917431192660551,"France"
"31801",18523,241,0.00231489803045941,9366.71428571429,0,0.906444906444906,0.796233469500796,30,0.01,0.773109243697479,0.917431192660551,"France"
"31802",18524,242,0.00736820883152201,9684.28571428571,0,0.897163120567376,0.796156485929993,30,0.01,0.773109243697479,0.909090909090909,"France"
"31803",18525,243,0.02077137535253,10283,1,0.897163120567376,0.790190735694823,30,0.01,0.766666666666667,0.909090909090909,"France"
"31804",18526,244,0.00385442937877304,10160.5714285714,0,0.898156277436348,0.790190735694823,30,0.01,0.768595041322314,0.909090909090909,"France"
"31805",18527,245,0.00672759446767304,10483.1428571429,0,0.899130434782609,0.790190735694823,30,0.01,0.770491803278688,0.909090909090909,"France"
"31806",18528,246,0.0115129923200418,10926,1,0.899130434782609,0.784313725490196,30,0.01,0.764227642276423,0.909090909090909,"France"
"31807",18529,247,0.0278757063219487,11727.5714285714,1,0.899130434782609,0.778523489932886,30,0.01,0.758064516129032,0.909090909090909,"France"
"31808",18530,248,0.0087287079739277,12137.7142857143,0,0.899130434782609,0.772818121252498,30,0.01,0.752,0.909090909090909,"France"
"31809",18531,249,0.0209246715455822,12232,1,0.899130434782609,0.767195767195767,30,0.01,0.746031746031746,0.909090909090909,"France"
"31810",18532,250,0.0158659564449441,12246.1428571429,1,0.900086132644272,0.767195767195767,30,0.01,0.748031496062992,0.909090909090909,"France"
"31811",18533,251,0.00520883351378782,12069,0,0.900086132644272,0.761654629021668,30,0.01,0.7421875,0.909090909090909,"France"
"31812",18534,252,-0.0102213457383408,11772,0,0.900086132644272,0.75619295958279,30,0.01,0.736434108527132,0.909090909090909,"France"
"31813",18535,253,-0.0134852395421294,11925.5714285714,0,0.901023890784983,0.75619295958279,30,0.01,0.738461538461539,0.909090909090909,"France"
"31814",18536,254,-0.00866394130817557,11525.7142857143,0,0.885686370297997,0.765312190287413,29,0.01,0.753846153846154,0.891891891891892,"France"
"31815",18537,255,-0.0190253255231778,11001.7142857143,0,0.892282157676349,0.757853236678113,30,0.01,0.738461538461539,0.901785714285714,"France"
"31816",18538,256,-0.036925910495864,11325.7142857143,0,0.883675464320626,0.757770632368703,30,0.01,0.738461538461539,0.893805309734513,"France"
"31817",18539,257,-0.0388967827768205,11592.7142857143,0,0.875239923224568,0.757689422355589,30,0.01,0.738461538461539,0.885964912280702,"France"
"31818",18540,258,-0.0332198277294559,11784.1428571429,0,0.875287401886942,0.759414225941423,30,0.01,0.738461538461539,0.88695652173913,"France"
"31819",18541,259,-0.0274788631737482,12256.2857142857,0,0.875334066970602,0.761114476075106,30,0.01,0.738461538461539,0.887931034482759,"France"
